date,game_pk,hitter_id,hitter,slot,team,opp_pitcher_id,opp_pitcher,season_k_pct,recent_k_pct,opp_pitcher_k_pct,park_factor,matchup_k_pct,expected_pa,proj_ks,line,over_odds,over_book,under_odds,under_book,n_books,p_over,novig_over,edge,ev_over,ev_under,actual_ks,actual_pa,error,over_hit,over_pnl,under_pnl
2026-04-30,824848,670623,Isaac Paredes,3,Houston Astros,605135,Chris Bassitt,0.161,0.115,0.126,1.0,0.08,4.45,0.36,,,,,,0,,,,,,0,4,-0.36,,,
2026-04-30,824848,673237,Yainer Diaz,6,Houston Astros,605135,Chris Bassitt,0.155,0.15,0.126,1.0,0.086,4.15,0.36,,,,,,0,,,,,,1,4,0.64,,,
2026-04-30,823471,702222,Justin Crawford,7,Philadelphia Phillies,605288,Adrian Houser,0.192,0.175,0.108,1.0,0.089,4.05,0.36,,,,,,0,,,,,,0,4,-0.36,,,
2026-04-30,825016,666126,Carlos Cortes,6,Athletics,702070,Noah Cameron,0.09,0.113,0.191,1.0,0.084,4.15,0.35,,,,,,0,,,,,,2,4,1.65,,,
2026-04-30,824850,687957,Dustin Harris,5,Houston Astros,687064,Brandon Young,0.136,0.136,0.132,1.0,0.08,4.25,0.34,,,,,,0,,,,,,0,4,-0.34,,,
2026-04-30,823471,664761,Alec Bohm,6,Philadelphia Phillies,605288,Adrian Houser,0.169,0.172,0.108,1.0,0.082,4.15,0.34,,,,,,0,,,,,,1,4,0.66,,,
2026-04-30,825016,679845,Nick Loftin,5,Kansas City Royals,605488,Jeffrey Springs,0.081,0.081,0.223,1.0,0.08,4.25,0.34,,,,,,0,,,,,,0,3,-0.34,,,
2026-04-30,824929,645277,Ozzie Albies,3,Atlanta Braves,664285,Framber Valdez,0.118,0.047,0.182,1.0,0.072,4.45,0.32,,,,,,0,,,,,,0,4,-0.32,,,
2026-04-30,825016,553869,Elias Díaz,9,Kansas City Royals,605488,Jeffrey Springs,0.083,0.083,0.223,1.0,0.083,3.85,0.32,,,,,,0,,,,,,0,4,-0.32,,,
2026-04-30,824848,543877,Christian Vázquez,9,Houston Astros,605135,Chris Bassitt,0.145,0.145,0.126,1.0,0.082,3.85,0.31,,,,,,0,,,,,,0,4,-0.31,,,
2026-04-30,824848,687957,Dustin Harris,8,Houston Astros,605135,Chris Bassitt,0.136,0.136,0.126,1.0,0.077,3.95,0.3,,,,,,0,,,,,,0,4,-0.3,,,
2026-04-30,824524,671289,Tyler Freeman,4,Colorado Rockies,671096,Andrew Abbott,0.108,0.109,0.146,1.0,0.07,4.35,0.3,,,,,,0,,,,,,0,4,-0.3,,,
2026-04-30,824524,668709,JJ Bleday,7,Cincinnati Reds,547179,Michael Lorenzen,0.111,0.111,0.15,1.0,0.074,4.05,0.3,,,,,,0,,,,,,0,3,-0.3,,,
2026-04-30,823714,676391,Ernie Clement,6,Toronto Blue Jays,641927,Bailey Ober,0.07,0.098,0.195,1.01,0.071,4.15,0.3,,,,,,0,,,,,,0,2,-0.3,,,
2026-04-30,823471,694025,Felix Reyes,8,Philadelphia Phillies,605288,Adrian Houser,0.143,0.143,0.108,1.0,0.068,3.95,0.27,,,,,,0,,,,,,0,3,-0.27,,,
2026-04-30,824850,670541,Yordan Alvarez,2,Houston Astros,687064,Brandon Young,0.098,0.09,0.132,1.0,0.056,4.55,0.25,,,,,,0,,,,,,2,4,1.75,,,
2026-04-30,824848,670541,Yordan Alvarez,2,Houston Astros,605135,Chris Bassitt,0.098,0.09,0.126,1.0,0.053,4.55,0.24,,,,,,0,,,,,,2,4,1.76,,,
2026-04-30,823472,650333,Luis Arraez,3,San Francisco Giants,650911,Cristopher Sánchez,0.047,0.031,0.264,1.0,0.048,4.45,0.21,,,,,,0,,,,,,1,4,0.79,,,
2026-04-30,823471,650333,Luis Arraez,3,San Francisco Giants,641835,Tim Mayza,0.047,0.031,0.233,1.0,0.042,4.45,0.19,,,,,,0,,,,,,1,4,0.81,,,
2026-04-30,823471,596117,Garrett Stubbs,9,Philadelphia Phillies,605288,Adrian Houser,0.1,0.1,0.108,1.0,0.048,3.85,0.18,,,,,,0,,,,,,1,3,0.82,,,
